2025-02-21 13:14:32,132 INFO    StreamThr :36199 [internal.py:wandb_internal():86] W&B internal server running at pid: 36199, started at: 2025-02-21 13:14:32.131266
2025-02-21 13:14:32,132 DEBUG   HandlerThread:36199 [handler.py:handle_request():146] handle_request: status
2025-02-21 13:14:32,134 INFO    WriterThread:36199 [datastore.py:open_for_write():85] open: /Users/akshayjacobthomas/Documents/GitHub/DiffMicromehanics/surrogate/wandb/run-20250221_131432-1y0s9t2b/run-1y0s9t2b.wandb
2025-02-21 13:14:32,134 DEBUG   SenderThread:36199 [sender.py:send():382] send: header
2025-02-21 13:14:32,159 DEBUG   SenderThread:36199 [sender.py:send():382] send: run
2025-02-21 13:14:32,385 INFO    SenderThread:36199 [dir_watcher.py:__init__():211] watching files in: /Users/akshayjacobthomas/Documents/GitHub/DiffMicromehanics/surrogate/wandb/run-20250221_131432-1y0s9t2b/files
2025-02-21 13:14:32,385 INFO    SenderThread:36199 [sender.py:_start_run_threads():1136] run started: 1y0s9t2b with start time 1740161672.131563
2025-02-21 13:14:32,398 DEBUG   HandlerThread:36199 [handler.py:handle_request():146] handle_request: check_version
2025-02-21 13:14:32,398 DEBUG   SenderThread:36199 [sender.py:send_request():409] send_request: check_version
2025-02-21 13:14:32,489 DEBUG   HandlerThread:36199 [handler.py:handle_request():146] handle_request: run_start
2025-02-21 13:14:32,495 DEBUG   HandlerThread:36199 [system_info.py:__init__():32] System info init
2025-02-21 13:14:32,495 DEBUG   HandlerThread:36199 [system_info.py:__init__():47] System info init done
2025-02-21 13:14:32,495 INFO    HandlerThread:36199 [system_monitor.py:start():194] Starting system monitor
2025-02-21 13:14:32,495 INFO    SystemMonitor:36199 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-21 13:14:32,495 INFO    HandlerThread:36199 [system_monitor.py:probe():214] Collecting system info
2025-02-21 13:14:32,496 DEBUG   HandlerThread:36199 [system_info.py:probe():196] Probing system
2025-02-21 13:14:32,496 INFO    SystemMonitor:36199 [interfaces.py:start():190] Started cpu monitoring
2025-02-21 13:14:32,496 INFO    SystemMonitor:36199 [interfaces.py:start():190] Started disk monitoring
2025-02-21 13:14:32,499 INFO    SystemMonitor:36199 [interfaces.py:start():190] Started gpuapple monitoring
2025-02-21 13:14:32,500 INFO    SystemMonitor:36199 [interfaces.py:start():190] Started memory monitoring
2025-02-21 13:14:32,500 INFO    SystemMonitor:36199 [interfaces.py:start():190] Started network monitoring
2025-02-21 13:14:32,504 DEBUG   HandlerThread:36199 [system_info.py:_probe_git():181] Probing git
2025-02-21 13:14:32,536 DEBUG   HandlerThread:36199 [system_info.py:_probe_git():189] Probing git done
2025-02-21 13:14:32,536 DEBUG   HandlerThread:36199 [system_info.py:probe():244] Probing system done
